"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1698" "high" "low" ">24" ">24" "<18" "18-24" "open"
"1699" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"1700" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1701" "high" "low" "<18" ">24" "18-24" ">24" "open"
"1702" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1703" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1704" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1705" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1706" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1707" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1708" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1709" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1710" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1711" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1712" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1713" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1714" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1715" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1716" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1717" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1718" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1719" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1720" "high" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1721" "low" "low" "18-24" "<18" "<18" "18-24" "open"
"1722" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1723" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1724" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1725" "high" "high" ">24" ">24" "<18" "<18" "closed"
"1726" "low" "low" ">24" "18-24" "<18" "<18" "open"
"1727" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1728" "low" "high" "18-24" "18-24" ">24" ">24" "closed"
"1729" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1730" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1731" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1732" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1733" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1734" "high" "low" "<18" "18-24" "18-24" "<18" "open"
"1735" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1736" "low" "high" "<18" "<18" "<18" "<18" "open"
"1737" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1738" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1739" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1740" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1741" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1742" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1743" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1744" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1745" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1746" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1747" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1748" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1749" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1750" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1751" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1752" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1753" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1754" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1755" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1756" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1757" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1758" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1759" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1760" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1761" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1762" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1763" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1764" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1765" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1766" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1767" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"1768" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1769" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1770" "low" "high" "18-24" "18-24" "<18" "18-24" "open"
"1771" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1772" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1773" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1774" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1775" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1776" "high" "high" "18-24" "<18" "<18" "18-24" "open"
"1777" "low" "low" "<18" "18-24" "<18" "<18" "closed"
"1778" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1779" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1780" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1781" "high" "low" "<18" "<18" "18-24" "<18" "closed"
"1782" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1783" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1784" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1785" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1786" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1787" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1788" "low" "low" "<18" "18-24" ">24" ">24" "open"
"1789" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1790" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1791" "low" "high" "18-24" ">24" "<18" "<18" "closed"
"1792" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1793" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1794" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1795" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1796" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1797" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1798" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1799" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1800" "low" "low" ">24" "18-24" "18-24" ">24" "closed"
"1801" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1802" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1803" "high" "high" "<18" ">24" ">24" ">24" "closed"
"1804" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1805" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1806" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1807" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1808" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1809" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1810" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1811" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1812" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1813" "high" "low" "<18" "18-24" "<18" "<18" "open"
"1814" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1815" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1816" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1817" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1818" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1819" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1820" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1821" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1822" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1823" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1824" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1825" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1826" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1827" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1828" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1829" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1830" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1831" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1832" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"1833" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1834" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1835" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1836" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1837" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1838" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1839" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1840" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1841" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"1842" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"1843" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1844" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1845" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1846" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1847" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1848" "high" "low" "18-24" ">24" ">24" ">24" "open"
"1849" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1850" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1851" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1852" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1853" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1854" "high" "high" "18-24" "18-24" ">24" "18-24" "open"
"1855" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1856" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1857" "low" "low" "<18" "18-24" "<18" "18-24" "closed"
"1858" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1859" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1860" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1861" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1862" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1863" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1864" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1865" "low" "low" "18-24" ">24" ">24" ">24" "open"
"1866" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1867" "high" "high" ">24" "18-24" ">24" ">24" "open"
"1868" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1869" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1870" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1871" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1872" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1873" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1874" "low" "low" "<18" "<18" "18-24" "<18" "open"
"1875" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1876" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1877" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1878" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1879" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1880" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1881" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1882" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1883" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"1884" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1885" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1886" "low" "low" "18-24" "<18" "<18" "18-24" "open"
"1887" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1888" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1889" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1890" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1891" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1892" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1893" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1894" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1895" "high" "high" "18-24" "<18" "18-24" "18-24" "open"
"1896" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1897" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1898" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1899" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1900" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1901" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1902" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1903" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1904" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1905" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1906" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1907" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1908" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1909" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1910" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"1911" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1912" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1913" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1914" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1915" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1916" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1917" "high" "high" ">24" ">24" "<18" "<18" "closed"
"1918" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1919" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1920" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1921" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1922" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1923" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1924" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1925" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1926" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1927" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1928" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1929" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1930" "high" "low" ">24" "18-24" ">24" ">24" "open"
"1931" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1932" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1933" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1934" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1935" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1936" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1937" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1938" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1939" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1940" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1941" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1942" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1943" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1944" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1945" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1946" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1947" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1948" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1949" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1950" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1951" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1952" "low" "low" "<18" "18-24" "18-24" ">24" "open"
"1953" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1954" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1955" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1956" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1957" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1958" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1959" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1960" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1961" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1962" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1963" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1964" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1965" "high" "high" "18-24" ">24" "<18" "<18" "closed"
"1966" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1967" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1968" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1969" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1970" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1971" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1972" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1973" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1974" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1975" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1976" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1977" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1978" "high" "low" "<18" "<18" "18-24" "<18" "closed"
"1979" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1980" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1981" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1982" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1983" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1984" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1985" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1986" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1987" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1988" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1989" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1990" "low" "low" "<18" "18-24" ">24" ">24" "closed"
"1991" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1992" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1993" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1994" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1995" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1996" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1997" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1998" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1999" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"2000" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
